geneID	leaf.AVG	stem.AVG	LogFC
GSCOC_T00001521001	-0.07	0.25	0.33
GSCOC_T00001522001	4.21	2.86	-1.35
GSCOC_T00001523001	2.5	1.26	-1.24
GSCOC_T00001524001	4.74	4.83	0.09
GSCOC_T00001539001	5.16	4.48	-0.68
GSCOC_T00001543001	6.91	6.59	-0.33
GSCOC_T00001545001	6.01	4.57	-1.44
GSCOC_T00001546001	3.46	0.25	-3.21
GSCOC_T00001547001	6.7	6.26	-0.44
GSCOC_T00001548001	4.64	3.52	-1.12
GSCOC_T00001549001	3.77	2.69	-1.08
GSCOC_T00001551001	5.6	4.92	-0.68
GSCOC_T00001553001	6.09	7.94	1.85
GSCOC_T00001598001	3.6	6.46	2.87
GSCOC_T00001605001	3.72	3.31	-0.41
GSCOC_T00001607001	1.62	-2.12	-3.75
GSCOC_T00001612001	-0.38	3.34	3.73
GSCOC_T00001617001	5.88	6.25	0.37
GSCOC_T00001619001	4.67	5.28	0.61
GSCOC_T00001627001	6.22	6.41	0.19
GSCOC_T00001628001	3.74	0.7	-3.04
GSCOC_T00001638001	4.91	2.53	-2.38
GSCOC_T00001639001	6.08	4.61	-1.47
GSCOC_T00001640001	2.88	1.84	-1.04
GSCOC_T00001641001	5.51	7.12	1.61
GSCOC_T00001642001	7.26	7.25	-0.01
GSCOC_T00001643001	0.32	1.41	1.09
GSCOC_T00001649001	6.1	6.07	-0.02
GSCOC_T00001650001	4.79	2.59	-2.2
GSCOC_T00001651001	5.59	5.98	0.38
GSCOC_T00001652001	2.19	2.34	0.15
GSCOC_T00001653001	5.56	1.07	-4.48
GSCOC_T00001655001	5.39	4.86	-0.53
GSCOC_T00001658001	4.4	4.19	-0.21
GSCOC_T00001660001	4.98	4.49	-0.49
GSCOC_T00001661001	5.9	5.55	-0.34
GSCOC_T00001662001	4.74	4.3	-0.44
GSCOC_T00001663001	4.7	3.62	-1.09
GSCOC_T00001664001	4.47	4.9	0.43
GSCOC_T00001665001	1.41	1.42	0.01
GSCOC_T00001667001	7.79	6.53	-1.25
GSCOC_T00001668001	0.55	0.73	0.17
GSCOC_T00001669001	6.65	6.75	0.1
GSCOC_T00001672001	5.63	5.39	-0.24
GSCOC_T00001673001	4.58	4.49	-0.08
GSCOC_T00001675001	3.75	5.75	2
GSCOC_T00001681001	4.16	4.38	0.22
GSCOC_T00001682001	6.69	6.8	0.11
GSCOC_T00001684001	3.34	6.71	3.37
GSCOC_T00001689001	5.37	4.86	-0.5
GSCOC_T00001694001	1.5	0.68	-0.83
GSCOC_T00001708001	7.79	6.06	-1.73
GSCOC_T00001711001	3.07	2.78	-0.29
GSCOC_T00001712001	1.42	0.69	-0.74
GSCOC_T00001786001	3.91	3.97	0.05
