geneID	L42	L41	L32	L31	S42	S41	S32	S31
GSCOC_T00001228001	5.694634056063071	5.263377047560262	5.357468878647677	4.905459520579133	1.3562200895477503	1.4549497107624143	2.490965288623007	1.8381836864798264
GSCOC_T00001232001	6.3895526313000515	6.354384178810847	6.836240002930938	6.796830078331049	5.440504368411737	5.543887280702392	5.58349865343569	5.3985552684784315
GSCOC_T00001237001	-0.799748156859811	0.8388207785987452	0.8567062320218022	1.411089079763099	2.6091056637429375	3.3202672089796392	3.8509408890330747	3.8706091668574216
GSCOC_T00001250001	2.7271121093186697	2.011456744040362	2.8388612185028967	2.1927438642818564	6.391591322448902	6.262751628626313	6.693385316427694	6.352941555986259
GSCOC_T00001256001	0.7594995480009288	0.8816711327445599	3.4702215243836436	3.001739252773865	-5.385247839914727	-5.390541447085101	-5.270591241751126	-2.673286579095726
GSCOC_T00001263001	-3.583507461525582	-1.5939055599711363	0.5853863647442691	1.2622722168204499	1.5278582021025582	2.3331871055291513	0.668669348005569	1.272480116141794
GSCOC_T00001264001	4.123024315107382	4.284556803002609	5.980519169711062	6.319282462703313	1.4234271250571888	1.3717461052942186	-0.061132063890588964	0.061338970813286216
GSCOC_T00001267001	6.262370126977653	6.45352416458317	7.117955222571113	7.333299412462624	0.16933738966448242	-0.10513563607944322	0.9961970115314086	1.5731315558922156
GSCOC_T00001281001	-0.4038196713463878	-1.8738990861939102	0.41782970609379705	-0.8167175750569379	1.4602435582884112	2.010337461505765	1.5997739698814755	0.29302206734040376
GSCOC_T00001284001	5.062155158022054	5.274717844613645	5.751726680669287	6.037981661679558	1.2729641172591095	1.664741957691127	1.7628312389212406	1.6440972571316956
GSCOC_T00001285001	6.910513602910137	7.004322471106132	6.845952216215941	6.870151703668444	6.0415399554909195	5.97304692334126	5.4717178218987765	5.538624993433599
GSCOC_T00001286001	7.081284624957176	6.989249794308385	7.234028006845748	7.119919987988618	6.1717372820264185	6.103814730812525	5.966020391470011	5.790100589459584
GSCOC_T00001287001	3.74348919410687	3.7538387014259267	3.9566407727111206	3.9933465907689016	1.4349303531316377	1.9040786128047256	1.2372026962917413	1.6669974483197676
GSCOC_T00001288001	6.805243517382798	6.816875012182255	6.979557992106458	6.9882624666568836	4.397749913399553	4.328850025677872	4.585839022430508	4.598667322810697
GSCOC_T00001299001	2.5321213620498013	2.429872747735249	1.4893706954383266	1.494667776186045	-0.8560190805004557	0.3373781679106265	0.2923322768314822	0.10457784634236518
GSCOC_T00001308001	6.456648896620656	5.903809188200619	6.193348277897258	5.757922818318359	3.731096583756609	3.4135879623151784	5.122798935607178	4.671251402212561
GSCOC_T00001313001	4.161843376803992	4.241099589314009	3.799231838126145	3.255176802081921	-1.0856880036520893	-0.7664194307411922	-0.19462921578077977	0.5345419930187086
GSCOC_T00001330001	4.46210079207502	4.7358921492311	5.251278524592354	5.160561394746159	3.797087742177358	3.8502502517043546	3.674856811711765	3.805017142304393
GSCOC_T00001353001	1.9648689849849048	1.7021153060941894	1.7461543893507365	1.2033969872260923	-1.2977848961257294	-2.220617412462055	-2.4632360345287165	-3.736726130461531
GSCOC_T00001367001	4.808754687674607	5.0629721854449175	4.955259169770678	5.201503489825341	3.2145379084434604	3.1755130484532708	3.126014096973275	3.7199722773531056
GSCOC_T00001383001	6.1777460650583516	6.304118837641344	5.568043025329111	5.725403298685112	9.512972932788514	9.620368033683352	9.504940144920333	9.57433478499442
GSCOC_T00001388001	-1.1407878849832866	-0.7445986703445884	-1.6145922448507222	-2.257289913305034	0.3199543991713153	0.3607736185696184	0.28399657640669707	0.35073674646830505
GSCOC_T00001399001	3.794387709616851	4.327372139330912	4.253516495029607	4.594702364466935	1.700381245117356	2.235007790891603	1.1958776765442691	1.4061915557989133
GSCOC_T00001400001	5.168940350340412	5.302134240115821	5.476035124020441	5.726609652144796	2.474764116726456	3.1591800509524495	2.1383562661332536	2.6430719370131883
GSCOC_T00001401001	4.3414735648422	4.7450478965119185	3.576914205230556	3.865347245402857	2.630402971334449	2.7239783710733736	2.6512917943867067	3.0059829505454814
GSCOC_T00001423001	4.490733244190955	4.4784428989013305	4.272692946376295	4.5718632563748605	7.005262700583173	7.063889933551324	7.108461970756288	6.971773708942342
GSCOC_T00001438001	1.7725044382694448	1.8509945974868791	2.0027880346203664	2.0749062345868583	-1.2977858360008623	-3.0686155837724924	-2.4632388002406604	-3.7367243204210703
GSCOC_T00001450001	1.8957965624025588	2.1333004155621347	1.4930000963713983	2.2623461959523192	-0.7058301162490939	-0.8728265960331322	-0.5123652059190233	-1.7854193488000918
GSCOC_T00001459001	3.676838582733776	3.610812264367842	4.052677249903772	3.686898052305301	2.7796586498784874	3.105312799493273	2.2607909413070804	2.3856723172166006
GSCOC_T00001484001	3.2237877503274617	2.5635059434464176	3.38129839206312	3.0594763604081647	-0.34085261466996203	-0.5325597917487821	0.7517754622058245	0.4596664842470325
GSCOC_T00001510001	-1.3472367317850342	-1.8738995962225524	-1.904103394543064	-2.2572898665509413	0.7711904883835583	1.3825569400813338	0.5785425875404523	1.018163093153365
GSCOC_T00001520001	-0.4038189579571661	-1.3433844714769394	-0.029634224149924074	0.7682429520664446	1.1846082810988219	0.586740532203876	0.9192328095888659	1.5731318712560711
GSCOC_T00001522001	3.83918898432246	4.058792371479874	4.463165604487223	4.457780451861588	3.019618520293137	3.3243485254651346	2.585105972660376	2.4371922274076794
