	AveExpr	Coef	t	P.value	F	F.p.value
GSCOC_T00009063001	0.85703081889506	1.37495493771964	2.58484451258133	0.0297878930741061	6.68142115422179	0.0297878930741061
GSCOC_T00009086001	2.22220876363071	-0.908860969015367	-0.980459016803548	0.352831398144533	0.96129988363138	0.352831398144533
GSCOC_T00009087001	5.76320843436733	-0.935501182033636	-3.37021382988122	0.0084215399148224	11.3583412591226	0.00842153991482241
GSCOC_T00009092001	9.26853184300546	0.184110121931507	0.358852498351521	0.728094752283723	0.128775115573128	0.728094752283723
GSCOC_T00009096001	5.47225128515057	0.051135910083616	0.544392205218527	0.599581476301594	0.296362873102691	0.599581476301594
GSCOC_T00009097001	6.33676073543696	0.0854516317638785	0.898945961909703	0.392419915806752	0.808103842433761	0.392419915806752
GSCOC_T00009098001	0.584883242945092	-1.55871558825295	-3.88693196347567	0.00379276152442336	15.1082400886888	0.00379276152442336
GSCOC_T00009119001	-0.0828686625685653	-4.09235705494842	-9.47825582430133	6.16586666646836e-06	89.8373334709021	6.16586666646835e-06
GSCOC_T00009123001	-0.266305840008375	1.36546952850156	2.3317480997127	0.0450038448294968	5.43704920051378	0.0450038448294968
GSCOC_T00009125001	2.63442728361878	3.54144513476409	9.53212049892679	5.88748847181316e-06	90.8613212060603	5.88748847181316e-06
GSCOC_T00009134001	1.80162019420814	-0.177761363851891	-0.873936076555152	0.405182104267557	0.763764265904612	0.405182104267557
GSCOC_T00009139001	1.70818127807155	0.0929196740293841	0.19330662891379	0.851070722745574	0.0373674527820138	0.851070722745574
GSCOC_T00009141001	3.15256152154681	2.38411673360424	9.50995534881352	6.00032573894559e-06	90.4392507364268	6.00032573894558e-06
GSCOC_T00009142001	6.41875565363392	0.0472567332919187	0.587828319858632	0.571300647836825	0.345542133627822	0.571300647836825
GSCOC_T00009143001	8.42080482037176	-0.362612128940318	-0.995339911497004	0.345934662792262	0.990701539418864	0.345934662792262
GSCOC_T00009147001	2.73988593839138	-0.877316591466618	-3.90147314061461	0.00371041826947066	15.2214926669372	0.00371041826947066
GSCOC_T00009176001	4.36396471464949	-2.23496945231182	-5.27189854152442	0.000536878336667133	27.7929142321273	0.000536878336667133
GSCOC_T00009181001	3.43527986163603	-0.559043664844695	-2.41060029122345	0.0395771810482126	5.81099376404659	0.0395771810482126
GSCOC_T00009182001	3.9496520900154	0.0750011644665585	0.615244912482594	0.553840667460156	0.378526302335715	0.553840667460156
GSCOC_T00009183001	3.76553917984999	0.405472264679984	1.78096706894521	0.10908438488638	3.17184370066729	0.10908438488638
GSCOC_T00009191001	0.620342121878471	-0.143929667418594	-0.503440510241556	0.626913109617177	0.253452347352278	0.626913109617177
GSCOC_T00009192001	2.9944576205527	-0.122025193068091	-0.466896780966137	0.651824206149124	0.217992604076541	0.651824206149124
GSCOC_T00009203001	3.2550274347005	0.167770659201693	0.69941297118311	0.502213192976797	0.489178504259186	0.502213192976797
GSCOC_T00009209001	5.50420693843787	-0.031383845879879	-0.0668084762321632	0.948215112270089	0.00446337249646351	0.948215112270089
GSCOC_T00009211001	1.14008536321405	-3.40098335557015	-9.90808919696458	4.29028238827476e-06	98.1702315350062	4.29028238827475e-06
GSCOC_T00009212001	2.47401371602042	-3.86742289797806	-3.65264122714647	0.00542293168507623	13.3417879342501	0.00542293168507623
GSCOC_T00009214001	5.21517352851034	0.0847246109568252	0.480056524677514	0.642798463125204	0.230454266885453	0.642798463125204
GSCOC_T00009215001	0.50894169263648	-2.05511683803274	-3.58666519236596	0.00600503406745572	12.8641672021296	0.00600503406745572
GSCOC_T00009221001	8.91178313906375	-3.85642269483019	-13.3110445353966	3.6358004625022e-07	177.183906623312	3.6358004625022e-07
